Establecimiento;Tipo;Direccion;Numero;CodigoPostal;Coordenada_X;Coordenada_Y;Altitud;Municipio;Plazas
ADELA AFONSO;BAR;LA BARRANQUERA, S/N. ;0;38000;0;0;0;LA LAGUNA;0
ADELFAS, LAS;BAR;LAS ADELFAS URB. ;0;38000;0;0;0;PUERTO DE LA CRUZ;0
ADELINA;BAR;AVALES, 24 ;0;38000;0;0;0;TACORONTE;0
ADELITA;BAR;GENERAL DEL SUR 80, KM. 7 CTRA. ;0;38000;0;0;0;EL ROSARIO;0
ADEXE;KIOSCO;PLAYA FAÑABE, L-66 PARC.9 URB. ;0;38670;0;0;0;ADEJE;0
ADEXE;RESTAURANTE;CALVO SOTELO, 38 ;0;38670;0;0;0;ADEJE;62
ADICO;RESTAURANTE;AVDA DEL JABLE, C.C. ESMERALDA LOCAL 21/22;0;38678;0;0;0;ADEJE;0
ADICORA, AREPERA;BAR;C/. HERMANO PEDRO, 66 (SAN ISIDRO) ;0;38611;0;0;0;GRANADILLA DE ABONA;0
ADOLFO;BAR;SAN JUAN, 30 ;0;38150;0;0;0;SANTA CRUZ DE TENERIFE;0
ADOLFO;BAR;MACHADO, 2 BARRIO ;0;38290;0;0;0;EL ROSARIO;0
ADOLFO PEÑA GONZALEZ;BAR;GENERAL DEL SUR, 10 CTRA.  ;0;38510;0;0;0;CANDELARIA;500
ADORACION;BAR;MERCADO NUESTRA SEÑORA DE AFRICA ;0;38005;0;0;0;SANTA CRUZ DE TENERIFE;0
ADORACION GONZALEZ;BAR;GENERAL DEL SAUZAL CTRA. ;0;38000;0;0;0;EL SAUZAL;0
AFONSO;RESTAURANTE;CTRA. NUEVA, 139 ;0;38350;0;0;0;TACORONTE;50
AFRICA;BAR;PROVINCIAL LA PUNTILLA, 52 CTRA. ;0;38390;0;0;0;SANTA URSULA;0
AFRICANO;ZUMERIA;LORO PARQUE ;0;38400;0;0;0;PUERTO DE LA CRUZ;50
AFTER DARK (AL ANOCHECER);BAR;URB. JARD. LA PAZ-C.C. LA CUPULA, L-4 ;0;38400;0;0;0;PUERTO DE LA CRUZ;40
AGACHE;BAR;GENERAL DEL SUR, 29. CTRA;0;38500;0;0;0;GÜIMAR;0
AGACHE;RESTAURANTE;CTRA. GENERAL ESCOBONAL, 33 ;0;38000;0;0;0;GÜIMAR;40
AGAVE;BAR;LA PAZ ;0;38000;0;0;0;PUERTO DE LA CRUZ;0
AGIS 84;BAR;GENERAL DEL SUR KM. 6.5, 11 CTRA. ;0;38108;0;0;0;LA LAGUNA;0
AGONIA;RESTAURANTE;RAFAEL RAMOS, 32 ;0;38360;0;0;0;EL SAUZAL;26
AGORA;BAR-CAFETERIA;PLAZA BENITO PEREZ GALDOS, 6;6;38400;0;0;0;PUERTO DE LA CRUZ;0
AGORA;RESTAURANTE;VALERIA, 1 ;0;38626;339997;3105726;213;SAN MIGUEL;32
AGRICOLA ;BAR;GENERAL DEL SUR KM. 18 CTRA. ;0;38520;366282;3140547;91;CANDELARIA;0
AGROMERCADO;BAR-CAFETERIA;C/ ARCHAJARA, S/N - AGROMERCADO DE ADEJE (FRENTE A MAKRO);NULL;38670;28,12624235;-16,73928627;0;ADEJE;0
AGUA DE COCO;RESTAURANTE;SUECIA PROLONG.AVDA.(C.C.SAN TELMO,L-17) ;0;38650;0;0;0;ARONA;54
AGUA VIVA;RESTAURANTE;AVDA. MERCEDES DE ROJA, 12;0;38612;0;0;0;GRANADILLA DE ABONA;118
AGUABUEY;PIZZERIA;C/. TIGADAY, 4;0;38600;0;0;0;GRANADILLA DE ABONA;8
AGUABUEY;RESTAURANTE;CHASNA AVDA., S/N. ;0;38600;0;0;0;GRANADILLA DE ABONA;57
AGUACATE-LAGUNA;BAR;CRUZ CANDELARIA, ESQ. JUANA BLANCA, 2 ;0;38203;0;0;0;LA LAGUNA;0
AGUAMANSA;BAR;AGUAMANSA ;0;38000;0;0;0;LA OROTAVA;0
AGUAMANSA;RESTAURANTE;CTRA. GENERAL DE LAS CAÑADAS KM.15, 525 ;0;38300;0;0;0;LA OROTAVA;48
AGUAMAR;RESTAURANTE;ASOMADA DE LOS CERES URB.  ;0;38640;0;0;0;ARONA;100
AGUARDE, EL;RESTAURANTE;C/. COSTA Y GRIJALBA, 21;0;38004;0;0;0;SANTA CRUZ DE TENERIFE;90
AGUAS, LAS;RESTAURANTE;C/. DESTILA, 20 ;0;38420;0;0;0;SAN JUAN DE LA RAMBLA;40
AGUEDA;RESTAURANTE;ALVAREZ DE LUGO, 51 L-6;0;38000;0;0;0;SANTA CRUZ DE TENERIFE;57
AGUEDA BEGOÑA ACOSTA PEREZ;BAR;POZO DE LA VIRGEN - CC CANDELARIA ;0;38530;0;0;0;CANDELARIA;0
AGUERE;BAR-CAFETERIA;C/ ALBERTO EINSTEIN, 47;47;38201;0;0;0;LA LAGUNA;20
AGUILA;BAR;C/. TINGUAFAYA, 83 (URB. JARDINES COLGANGES, L-6);0;38652;0;0;0;ARONA;0
AGUILA, EL;BAR;GENERAL CUESTA-TACO, 24 CTRA. ;0;38320;0;0;0;LA LAGUNA;15
AGUILA, EL;RESTAURANTE;PZA. ALFERECES PROVISIONALES, S/N. (C/ BETHENCOURT ALFONSO, EDIF. TARAJAL);0;38002;377571;3149642;18;SANTA CRUZ DE TENERIFE;170
AGUILA, LA;BAR;DELGADO BARRETO TRANSV. (EDIF. TAMA) ;0;38000;0;0;0;LA LAGUNA;0
AGUILAS ATLETICO;CAFETERIA;GRANDE, 60 ;0;38670;0;0;0;ADEJE;38
AGUILAS DEL TEIDE;RESTAURANTE;LAS AGUILAS DEL TEIDE URB. (TINGUAFAYA)  ;0;38660;0;0;0;ARONA;130
AGUILAS, LAS;BAR;ORIENTE AVDA., 21 ;0;38435;0;0;0;TANQUE;15
AGÜITA;PUB;DR. ANTONIO GONZALEZ, 9 ;0;38360;0;0;0;LA LAGUNA;40
AGÜITA SALAA;BAR;AVDA. FRANCISCO J. AFONSO CARRILLO, S/N. (EDIF. BAHÍA PLAYA, L-3C) PLAYA JARDIN;0;38400;0;0;0;PUERTO DE LA CRUZ;0
AGULO;RESTAURANTE;HORNERO, 25 TINCER BAJO;0;38000;0;0;0;SANTA CRUZ DE TENERIFE;30
AGUSTIN;TASCA;REAL OROTAVA, 282 ;0;38369;0;0;0;EL SAUZAL;0
AGUSTIN Y ROSA;RESTAURANTE;SAN SEBASTIAN, 15 ;0;38430;0;0;0;ICOD DE LOS VINOS;100
AGUSTINA;BAR;CAMINO DE LAS MANTECAS, 55 ;0;38000;0;0;0;LA LAGUNA;0
A-GUSTO;CAFETERIA;C/. VELAZQUEZ, 12 ;0;38000;0;0;0;SANTA CRUZ DE TENERIFE;45
AHITAY;BAR;MERCADO NTRA. SRA. DE AFRICA, L-17 ;0;38000;0;0;0;SANTA CRUZ DE TENERIFE;0
AHORA SIN CAMARAS;PUB;AVDA. LA HABANA, S/N. (C.C. SAN TELMO, L-11A);0;38650;0;0;0;ARONA;0
AIDA;RESTAURANTE;EL CARMEN, 3;0;38007;0;0;0;SANTA CRUZ DE TENERIFE;58
AIDA-CHE;BAR;LA ALHONDIGA, 11 ;0;38480;0;0;0;BUENAVISTA DEL NORTE;24
AINHOA;MESON;CLUB SEIS, L-6B C.C. ;0;38650;0;0;0;ARONA;80
AIRAM;BAR;ADELANTADO, 14 ;0;38320;0;0;0;LA LAGUNA;50
AIRAM;BAR;IGARA, 6 ;0;38000;0;0;0;ARONA;0
AIRES DEL SUR;RESTAURANTE;GENERAL A PTO. SANTIAGO, 31 CTRA.  ;0;38436;0;0;0;SANTIAGO DEL TEIDE;79
AITHAMY;BAR;PERDOMO, 3 (EDIF. SOTANOS) ;0;38400;0;0;0;PUERTO DE LA CRUZ;20
